,Model,Train-Score,Test-Score,Laufzeit
0,bayes_default,0.7679324894514767,0.797752808988764,0.002s
1,logreg_default,0.7988748241912799,0.8033707865168539,0.016s
2,knn_default,0.8565400843881856,0.8089887640449438,0.035s
3,knn_10_n,0.8312236286919831,0.797752808988764,0.036s
4,svc_default,0.8157524613220816,0.797752808988764,0.021s
5,svc_c10,0.8340365682137834,0.8089887640449438,0.070s
6,svc_grid,0.8340365682137834,0.8089887640449438,-1
7,tree_default,0.9859353023909986,0.7696629213483146,0.003s
8,tree_adapted,0.890295358649789,0.8370786516853933,0.003s
9,tree_grid,0.8818565400843882,0.7808988764044944,-1
10,mpl_default,0.8255977496483825,0.8202247191011236,0.793s
11,mpl_adapted,0.8213783403656821,0.8314606741573034,0.922s
12,mlp_grid,0.8143459915611815,0.8033707865168539,-1
13,forest_adapted,0.8945147679324894,0.8202247191011236,0.231s
14,forest_grid,0.9859353023909986,0.7921348314606742,-1
